Model,FGSM,DeepFool,PGD,L2PGD
simple_cnn,19.647231489419937,47.225,4.969380557537079,47.225
vgg16,60.59685951471329,47.225,17.327635049819946,47.225
resnet18,15.442219228403909,43.87570266766209,6.953295912061419,43.887486899750584
